horse_id,horse_name,sire,sire_id,sire_sire,sire_dam
2021106799,エムズマン,ダノンバラード,2008103548,ディープインパクト,サンデーサイレンスSunday Silence(米)
2021106800,ソウキュウ,Arrogate(米),000a013798,Unbridled's Song(米),Unbridled
2021106801,カンバセーショナル,ダイワメジャー,2001103114,サンデーサイレンスSunday Silence(米),Halo
2021106802,ヤルダバオト,スクリーンヒーロー,2004103328,グラスワンダー,Silver Hawk
2021106803,コスモバタール,Cracksman(英),000a0137be,Frankel,Galileo(愛)
2021106804,グレンノアラシ,スクリーンヒーロー,2004103328,グラスワンダー,Silver Hawk
2021106805,マイネルディレクト,ロージズインメイRoses in May(米),000a010a10,Devil His Due,Devil's Bag
2021106806,コスモバシレウス,ブリックスアンドモルタルBricks and Mortar(米),000a014377,Giant's Causeway(米),Storm Cat(米)
2021106808,シェルターベルト,スクリーンヒーロー,2004103328,グラスワンダー,Silver Hawk
2021106809,コスモララバイ,Harry Angel(愛),000a01a8a2,Dark Angel,Acclamation
2021106810,ポンポンダリア,ゴールドシップ,2009102739,ステイゴールド,サンデーサイレンスSunday Silence(米)
2021106811,マイネルモメンタム,ゴールドシップ,2009102739,ステイゴールド,サンデーサイレンスSunday Silence(米)
2021106812,レディマキシマ,キタサンブラック,2012102013,ブラックタイド,サンデーサイレンスSunday Silence(米)
2021106813,マイネルブラボー,サトノダイヤモンド,2013106101,ディープインパクト,サンデーサイレンスSunday Silence(米)
2021106814,ヒャクシキ,ゴールドシップ,2009102739,ステイゴールド,サンデーサイレンスSunday Silence(米)
2021106815,マイネルティグレ,スクリーンヒーロー,2004103328,グラスワンダー,Silver Hawk
2021106816,マイネルブリックス,ブリックスアンドモルタルBricks and Mortar(米),000a014377,Giant's Causeway(米),Storm Cat(米)
2021106817,マイネルコンポート,ゴールドシップ,2009102739,ステイゴールド,サンデーサイレンスSunday Silence(米)
2021106818,マイネルズコット,ゴールドシップ,2009102739,ステイゴールド,サンデーサイレンスSunday Silence(米)
2021106820,マイネルトゥルネー,ロージズインメイRoses in May(米),000a010a10,Devil His Due,Devil's Bag
2021106821,マイネルレグルス,スクリーンヒーロー,2004103328,グラスワンダー,Silver Hawk
2021106822,ポーラーシュテルン,ゴールドシップ,2009102739,ステイゴールド,サンデーサイレンスSunday Silence(米)
2021106823,コガネノソラ,ゴールドシップ,2009102739,ステイゴールド,サンデーサイレンスSunday Silence(米)
2021106826,レッセパッセ,ダノンバラード,2008103548,ディープインパクト,サンデーサイレンスSunday Silence(米)
2021106827,マイネルバーテクス,エピファネイア,2010104155,シンボリクリスエス,Kris S.
2021106828,ペーシュメルバ,ゴールドシップ,2009102739,ステイゴールド,サンデーサイレンスSunday Silence(米)
2021106829,コスモレオナルド,ゴールドシップ,2009102739,ステイゴールド,サンデーサイレンスSunday Silence(米)
2021106830,フローティンローズ,ロージズインメイRoses in May(米),000a010a10,Devil His Due,Devil's Bag
2021106832,カルテメトレス,サトノクラウン,2012104668,Marju(愛),ラストタイクーンLast Tycoon(愛)
2021106833,レクエルダメ,ダノンバラード,2008103548,ディープインパクト,サンデーサイレンスSunday Silence(米)
2021106834,コラソンビート,スワーヴリチャード,2014106083,ハーツクライ,サンデーサイレンスSunday Silence(米)
2021106835,マイネルコモドーア,ゴールドシップ,2009102739,ステイゴールド,サンデーサイレンスSunday Silence(米)
2021106836,ウォーブルースター,エイシンフラッシュ,2007102951,キングズベストKing's Best(米),Kingmambo(米)
2021106837,マイネルヴォルムス,ゴールドシップ,2009102739,ステイゴールド,サンデーサイレンスSunday Silence(米)
2021106839,マイネルトバーン,ダノンバラード,2008103548,ディープインパクト,サンデーサイレンスSunday Silence(米)
2021106840,パーセルペーパー,ロージズインメイRoses in May(米),000a010a10,Devil His Due,Devil's Bag
2021106841,デルミオクオーレ,スクリーンヒーロー,2004103328,グラスワンダー,Silver Hawk
2021106842,ジュエルソング,ダノンバラード,2008103548,ディープインパクト,サンデーサイレンスSunday Silence(米)
2021106843,マルボルド,ビーチパトロールBeach Patrol(米),000a0141f9,Lemon Drop Kid,Kingmambo(米)
2021106844,マイネルオデーサ,キズナ,2010105827,ディープインパクト,サンデーサイレンスSunday Silence(米)
2021106845,ザロック,コパノリッキー,2010106548,ゴールドアリュール,サンデーサイレンスSunday Silence(米)
2021106849,ビナカマウ,リーチザクラウン,2006102923,スペシャルウィーク,サンデーサイレンスSunday Silence(米)
2021106852,メイショウトコナツ,ビーチパトロールBeach Patrol(米),000a0141f9,Lemon Drop Kid,Kingmambo(米)
2021106854,ハピアーザンエバー,リオンディーズ,2013105915,キングカメハメハ,Kingmambo(米)
2021106862,ゴルトシュトラール,オルフェーヴル,2008102636,ステイゴールド,サンデーサイレンスSunday Silence(米)
2021106866,ラブリエスト,ラブリーデイ,2010104298,キングカメハメハ,Kingmambo(米)
2021106869,ムゲーテスペランサ,リアルインパクト,2008103244,ディープインパクト,サンデーサイレンスSunday Silence(米)
2021106874,ゴールドアローン,ドレフォンDrefong(米),000a013b82,Gio Ponti(米),Tale of the Cat(米)
2021106875,ゴールドジューク,ゴールドアクター,2011105266,スクリーンヒーロー,グラスワンダー
2021106877,ゴールドミラクル,ゴールドアクター,2011105266,スクリーンヒーロー,グラスワンダー
